old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,start_process_with_partial_path,B607,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,start_process_with_partial_path,B607,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,assert_used,B101,LOW,HIGH,282,8,74,[282],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,exec_used,B102,MEDIUM,HIGH,427,8,32,[427],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,try_except_pass,B110,LOW,HIGH,437,4,12,"[437, 438]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,try_except_pass,B110,LOW,HIGH,443,8,16,"[443, 444]",https://cwe.mitre.org/data/definitions/703.html
travis_config.sh,travis_config.sh,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,,,,,,,,,,
,.github/workflows/build_wheels.yml,89ca6a4ac9079c72d4d86d1c0f3141eeb0ca1bd6,fd4e6040af94d9db3da25874132ca092b4c9e3a1,,,,,,,,,,
.travis.yml,.travis.yml,89ca6a4ac9079c72d4d86d1c0f3141eeb0ca1bd6,fd4e6040af94d9db3da25874132ca092b4c9e3a1,,,,,,,,,,
pyproject.toml,pyproject.toml,aa26990977aa021b7d9559666b5674b5ca76c2ec,4262df8adb5074ee03309fd7541fb1b12b99da66,,,,,,,,,,
